title,rating,wokeRating,wokeComment
The Diplomat,8.7,3,"Brace yourself it's what you think it is, made watchable by some good writing and acting but fundamentally woke"
Curb Your Enthusiasm,8.7,4,
Tulsa King,8.7,3,
Lupin,8.7,3,
The Night Agent,8.65,3,
Alpha House,8.6,5,
Nip/Tuck,8.6,5,
Philip K Dick's Electric Dreams,8.6,4,
frontier,8.6,4,
Bad Blood,8.6,4,
Defending Jacob,8.6,4,
American Vandal,8.6,4,
Wolf Hall,8.6,4,
Midnight Mass,8.6,4,
Perry Mason,8.6,3,"Major nonsense it's hard to ignore like adding diversity, Lesbiens and trail blazing women with completely incongrous unrealistic characters and stories to a time when they 100% would not of existed, it is 100% written to todays standards with no attempt at setting a realistic historical scene, it's so bad i guess thats why they cancelled it"
Skins,8.6,3,
The Fear Index,8.6,3,"Some woke stuff but mostly bad writing, the book is awesome this is very meh, defo read the book over this"
Foundation,8.6,3,"Barely watchable, The straight white man patriarchy are portrayed as evil just wanting to hurt the little people, all the wahman are amazing and all the guys bummbling idiots, It has some redeeming qualities but mostly it's just another potentially amazing IP lost to bad writing and wokeness"
The Unit,8.55,5,
Day 5,8.55,5,
The Terror,8.55,4,
V,8.5,5,
The Night Manager,8.5,4,
The Haunting of Bly Manor,8.5,4,
"Love, Death and Robots",8.5,3,
The Playlist,8.5,3,
Into the Night,8.5,3,
Fatal Attraction,8.5,3,
24: Legacy,8.5,2,"Black Jack Bauer, thats the show they made a shit black version of jack bauer, don't bother with this"
Rabbit Hole,8.5,2,"They had Kiefer sutherland and Charles Dance signed up to make an action show and they completely fucked it with shoehorned in diverse super wahman whos smarter and a better fighter than jack bauer and learns to be a super spy without even a montage, this abomination of lost potential was cancelled due to garbage woke ness"
Wednesday,8.5,3,
The Sinner,8.5,3,
Manifest,8.5,3,The bad writing compounds things to make this a nope from me
Lights out,8.45,5,
Generation Kill,8.4,4,
Legends,8.4,4,"Decent show, so unlucky they filmed s2 around a certain story that by pure chance sorta happened a week before release so they couldn't release it and the show died"
McMafia,8.4,4,
Dark Winds,8.4,3,
A Spy Among Friends,8.4,3,
We Own this City,8.4,2,"Insane nonsensical story telling, constant victim hood narratives, imagined racism and every straight white man is evil and all the ugly fat black women are super"
Treadstone,8.4,2,"Finally a show on Robert Ludlum's bourne trilogy, Right, RIGHT?  Nope nonsensical awfully written woke garbage"
Beacon 23,8.4,3,"Bad writing, out there story, terrible inexplicable accents, its more just bad than woke but its also pretty pretty woke"
Falling Skies,8.35,4,
The Office UK,8.3,5,
My Hero,8.3,5,
Alias,8.25,4,
My Name Is Earl,8.2,5,
Harpers Island,8.2,5,
Dead Set,8.2,5,
Jack Ryan,8.2,2,"Ridiculous woke nonsense, according to this show US nuclear battleships are manned by a diverse cast of models in make up wearing earrings WHILE on activity duty, also they have 5'2 tiny little women who is supposedly a navy seal swat team memeber who can out hand to hand combat men twice her size, not even started on how they decimated the story with ridiculous diverse Waman telling Jack what he is doing wrong constantly, its just a farce, season 3 particularly"
The O.C,8,5,
Alice in Borderland,8,4,
Ted Lasso,8,3,
Cobra,7.9,2,"It's just a bad show but the woke elements take it to a terrible show, avoid"
Echo 3,7.9,2,"Utterly ridiculous shoehorned in pointless gay men sub plot and supposedly a group of colombian narco terrorists are ran by a pair of 20 something lesbiens, no seriously they have like grizzled vetran soldiers taking orders in the jungle of colombia from 2 little diverse girls, the utter nonsense ruins what could of been a good show"
Death Valley,7.8,5,
Peep Show,7.8,3,
Suspicion,7.8,2,"Nonsensical garbage, Apple should be ashamed"
the last don,7.5,5,
Vikings Valhalla,7.5,1,"Unwatchable, they literally made the greatest viking of the age who died at 21 a 50 year old fat ugly black wahman in 900 ad denmark with random black people just kicking about, not even started on the ridiculous super women the show revolves around and the dumb men, ignore this abomination and watch literally anything else or gouge your eyes out first"
Paranormal,7.3,5,"Egyptian, no woke nonsense but nothing of interest to see here"
The Last of Us,7.2,1,"The Last of us Game was one of the greatest games of all time, the sequel and this TV Show version are the single biggest destruction and betrayal in the history of Media, they took something beautiful and fucked it to death with woke nonsense, They literally Add in tranny's and gays to deconstruct and retroactively destroy the beautiful thing this started as, I hope Neil Cuckman dies of arse cancer"
Oats studios(short film type nonsense),7,4,
Frasier,5.3,1,"The Original is all time great TV but the 2023 remake is just utter garbage they shoehorned in all the shite and ticked all the boxes at the cost of the soul of the show, heartbreaking but Frasier ended on Frasier Crane day all those years ago"
Horace and Pete,5.1,3,"Ugh, garbage, pretentious, not sure what they were trying to do"
F1: Drive To Survive,4,4,
Planet Earth 3,3.8,2,"Amazing visuals but utter bollocks spouted about the Climate hoax and every woke greata loving topic they could shoehorn in, great to watch but mute when they get off topic and probably just skip the last episode"
